position_notional_usd,model,horizon_hours,VaR_capital_usd,CVaR_capital_usd
1000000,Jump diffusion Monte Carlo,1,16276.367362318033,28112.639997877763
1000000,Parametric Student-t,1,14655.860787128144,19350.75677053368
1000000,Gaussian benchmark,1,13094.563614480958,14984.39303005382
1000000,VAE,1,11732.930317521095,14385.96285879612
1000000,LSTM,1,11576.579740457784,15282.235074898528
1000000,Jump diffusion Monte Carlo,24,82946.43388472527,96006.0058395518
1000000,Parametric Student-t,24,67183.14705781658,77946.74778362137
1000000,Gaussian benchmark,24,66455.7801437494,75714.01568186072
1000000,VAE,24,41882.459074258804,48609.76338386536
