model,horizon_hours,VaR_return,CVaR_return,VaR_loss,CVaR_loss,mean_return,volatility
Gaussian benchmark,1,-0.013094563614480957,-0.01498439303005382,0.013094563614480957,0.01498439303005382,-0.00012071510117594093,0.005576916787930596
Jump diffusion Monte Carlo,1,-0.016276367362318033,-0.02811263999787776,0.016276367362318033,0.02811263999787776,-0.0002925461248267745,0.006642556772076669
LSTM,1,-0.011576579740457784,-0.015282235074898528,0.011576579740457784,0.015282235074898528,-0.0008575655519962311,0.004317410755902529
Parametric Student-t,1,-0.014655860787128144,-0.01935075677053368,0.014655860787128144,0.01935075677053368,-0.00012071510117594093,0.004320894136265074
VAE,1,-0.011732930317521095,-0.01438596285879612,0.011732930317521095,0.01438596285879612,-2.4590117391198874e-05,0.004195778630673885
Gaussian benchmark,24,-0.06645578014374941,-0.07571401568186072,0.06645578014374941,0.07571401568186072,-0.0028971624282225824,0.027321200936782603
Jump diffusion Monte Carlo,24,-0.08294643388472527,-0.0960060058395518,0.08294643388472527,0.0960060058395518,-0.00455513882887986,0.0322764285950095
Parametric Student-t,24,-0.06718314705781657,-0.07794674778362137,0.06718314705781657,0.07794674778362137,-0.002891128005597609,0.027185265483155148
VAE,24,-0.041882459074258804,-0.048609763383865356,0.041882459074258804,0.048609763383865356,-0.0014551131753250957,0.017366964370012283
