confidence_level_pct,model,VaR_loss,CVaR_loss,volatility
95.0,Jump diffusion Monte Carlo,0.00969926435706065,0.01431164280368747,0.00665304219075132
95.0,Gaussian benchmark,0.009293926907010136,0.011624292786043556,0.005576916787930596
95.0,Parametric Student-t,0.00882614611039857,0.012605119637590492,0.004320894136265074
95.0,LSTM,0.007959074292881802,0.009763144013466694,0.004317410755902529
95.0,VAE,0.007415662985295057,0.010111626237630844,0.004195778630673885
97.5,Jump diffusion Monte Carlo,0.011932911423299906,0.01788059152380092,0.006474337536333285
97.5,Parametric Student-t,0.011225530663221071,0.015331804935528574,0.004320894136265074
97.5,Gaussian benchmark,0.011051271150296712,0.013158446739875027,0.005576916787930596
97.5,LSTM,0.009319535140031037,0.010950820472225576,0.004317410755902529
97.5,VAE,0.009271860122680664,0.011989973485469818,0.004195778630673885
99.0,Jump diffusion Monte Carlo,0.015953974156595187,0.0283844804417109,0.006689903746017487
99.0,Parametric Student-t,0.014655860787128144,0.01935075677053368,0.004320894136265074
99.0,Gaussian benchmark,0.013094563614480957,0.01498439303005382,0.005576916787930596
99.0,VAE,0.011732930317521095,0.01438596285879612,0.004195778630673885
99.0,LSTM,0.010901364885351138,0.012364390093701584,0.004317410755902529
