model,observations,violations,expected_violation_rate,observed_violation_rate,kupiec_lr,kupiec_pvalue,christoffersen_lr_ind,christoffersen_ind_pvalue,violation_transition_01,violation_transition_11,christoffersen_lr_cc,christoffersen_cc_pvalue
Gaussian benchmark,8761.0,184.0,0.010000000000000009,0.021002168702202943,81.36614640435118,0.0,32.890387069625376,9.750421692267253e-09,0.019239738805970148,0.10326086956521739,114.25653347397656,0.0
Parametric t-VaR,8761.0,129.0,0.010000000000000009,0.014724346535783587,17.242483282185503,3.289965754627033e-05,14.61366653144114,0.00013195413153710422,0.013903371567605145,0.06976744186046512,31.856149813626644,1.209274682612005e-07
Jump diffusion Monte Carlo,8761.0,110.0,0.010000000000000009,0.012555644332838718,5.346596869802738,0.020762757430841328,12.078451712886817,0.0005100793954930793,0.011907514450867051,0.06363636363636363,17.425048582689556,0.0001645124525314623
LSTM conditional VaR,8761.0,72.0,0.010000000000000009,0.008218239926948978,2.99109739443918,0.08372341299810726,2.1107671374932124,0.14626597797787755,0.008057090239410682,0.027777777777777776,5.101864531932392,0.07800890704197672
VAE latent VaR,8761.0,133.0,0.010000000000000009,0.015180915420614085,20.50071166392854,5.960908428859213e-06,7.8294771633597975,0.0051400965802917975,0.014605308913875044,0.05263157894736842,28.33018882728834,7.049814026993673e-07
