lookback_hours,best_validation_loss,sigma_tracking_mae,current_VaR_loss,current_sigma,validation_violation_rate,validation_kupiec_pvalue,validation_ind_pvalue,validation_cc_pvalue,tail_quantile_z
24,-4.699437618255615,0.0038090118096477344,0.013988726926652281,0.005384222604334354,0.010046885465505693,0.9675495735609165,0.04731517180097522,0.1397499857588833,-2.2807909974134613
48,-4.766506195068359,0.0033393327305261933,0.012274927077108474,0.004882936365902424,0.010053619302949061,0.9629086168664404,0.7851977593124293,0.9624977489048343,-2.573101876581546
72,-4.76939582824707,0.002958937002557626,0.012350358542833203,0.004317410755902529,0.01006036217303823,0.9582668317826513,0.785672404680084,0.9623824771329496,-2.6619642282413483
